0:0,360,360,instant
0:3,284,360,instant
0:6,249,360,instant
0:9,245,360,instant
0:12,293,360,instant
0:15,276,360,instant
0:18,290,360,instant
0:21,237,360,instant
0:24,294,360,instant
0:27,243,360,instant
0:30,244,360,instant
0:33,265,360,instant
0:36,257,360,instant
0:39,311,360,instant
0:42,246,360,instant
0:45,244,360,instant
0:48,256,360,instant
0:51,265,360,instant
0:54,311,360,instant
0:57,307,360,instant
0:60,265,360,instant
0:63,251,360,instant
0:66,312,360,instant
0:69,246,360,instant
0:72,309,360,instant
0:75,265,360,instant
0:78,311,360,instant
0:81,251,360,instant
0:84,248,360,instant
0:87,312,360,instant
0:90,246,360,instant
0:93,244,360,instant
0:96,308,360,instant
0:99,250,360,instant
0:102,244,360,instant
0:105,235,360,instant
0:108,360,360,instant
